FIPS,COUNAM,STABBREV,TOTRATE_2020,EVANRATE_2020,BPRTRATE_2020,MPRTRATE_2020,CATHRATE_2020,ORTHRATE_2020,LDSRATE_2020,CJUDRATE_2020,IJUDRATE_2020,OJUDRATE_2020,RJUDRATE_2020,RFRMRATE_2020,MSLMRATE_2020,HINTRATE_2020,MAHBUDRATE_2020,THBUDRATE_2020,VAJBUDRATE_2020
48447,Throckmorton County,TX,111.3899994,89.58000183,0,21.67000008,0,0,,,,,,,,,,,
8061,Kiowa County,CO,152.6399994,147.4499969,0,5.119999886,0,0,,,,,,,,,,,
46119,Sully County,SD,44.12999725,11.06999969,0,16.31999969,16.60000038,0,,,,,,,,,,,
41069,Wheeler County,OR,35.84000015,8.819999695,0,2.210000038,6.889999866,0,14.68,,,,,,,,,,
2164,Lake and Peninsula Borough,AK,44.91999817,0,0,0,0,44.91999817,,,,,,,,,,,
20199,Wallace County,KS,44.90999985,18.71999931,0,16.06999969,10.11999989,0,,,,,,,,,,,
48235,Irion County,TX,39.51999664,3.039999962,0,19.62999916,16.85000038,0,,,,,,,,,,,
13265,Taliaferro County,GA,29.69999886,19.30999947,9.75,0.6399999857,0,0,,,,,,,,,,,
20101,Lane County,KS,65.75,17.34000015,0,35.70000076,12.71000004,0,,,,,,,,,,,
2068,Denali Borough,AK,37.79999924,20.26000023,0,0,4.449999809,0,13.09,,,,,,,,,,
31057,Dundy County,NE,58.77000046,2.839999914,0,49.63999939,6.289999962,0,,,,,,,,,,,
30019,Daniels County,MT,42.06999969,22.20999908,0,1.320000052,18.54000092,0,,,,,,,,,,,
46073,Jerauld County,SD,66.33000183,13.2300005,0,34.76000214,18.28000069,0,,,,,,,,,,,
20033,Comanche County,KS,67.43999481,40.37999725,0,24.98999977,2.069999933,0,,,,,,,,,,,
30075,Powder River County,MT,20.77000046,2.180000067,0,8.440000534,10.09000015,0,,,,,,,,,,,
35011,De Baca County,NM,132.4400024,57.34999847,0,8.539999962,53.24000168,0,13.25,,,,,,,,,,
20083,Hodgeman County,KS,44.68000031,2.840000153,0,23.27000046,18.56999969,0,,,,,,,,,,,
30055,McCone County,MT,43.77999878,17.80999947,0,17.28999901,8.680000305,0,,,,,,,,,,,
38033,Golden Valley County,ND,54.5,12.60999966,0,18.14999962,23.68000031,0,,,,,,,,,,,
8017,Cheyenne County,CO,49.80999756,19.38000107,0,4.460000038,25.96999931,0,,,,,,,,,,,
48359,Oldham County,TX,29.24000168,20.37000084,0,0,8.869999886,0,,,,,,,,,,,
48125,Dickens County,TX,77.05999756,48.75,0,11.52999973,16.78000069,0,,,,,,,,,,,
38091,Steele County,ND,74.13999939,5.619999886,0,59.56999969,8.949999809,0,,,,,,,,,,,
31015,Boyd County,NE,88.88000488,34.79999924,0,19,35.08000183,0,,,,,,,,,,,
31071,Garfield County,NE,93.38999939,39.38000107,0,32.32999802,21.68000031,0,,,,,,,,,,,
31049,Deuel County,NE,48.81000137,14.68999958,0,22.14999962,11.97000027,0,,,,,,,,,,,
48011,Armstrong County,TX,45.66999817,27.97999954,0,17.69000053,0,0,,,,,,,,,,,
32011,Eureka County,NV,49.15999985,13.36999989,0,0,10.23999977,0,25.5,,,,,,,,,,
41055,Sherman County,OR,18.3900013,4.059999943,0,8.670000076,5.289999962,0,,,,,,,,,,,
46055,Haakon County,SD,63.4600029,15.11999989,0,9.239999771,26.76000023,0,12.34,,,,,,,,,,
31069,Garden County,NE,46.95999908,13.56000042,0,19.89999962,13.5,0,,,,,,,,,,,
38047,Logan County,ND,92.9200058,1.00999999,0,27.36000061,64.55000305,0,,,,,,,,,,,
38065,Oliver County,ND,56.63000107,0,0,22.90999985,33.72000122,0,,,,,,,,,,,
31073,Gosper County,NE,50.06999588,33.37999725,0,10.67000008,6.019999981,0,,,,,,,,,,,
46095,Mellette County,SD,37.18000031,7.199999809,0,14.60000038,14.69999981,0,,,,,,,,,,,
30059,Meagher County,MT,37.25,11.72000027,0,8.090000153,6.539999962,0,10.9,,,,,,,,,,
46017,Buffalo County,SD,77.50999451,0,0,8.420000076,68.16999817,0,,,,,,,,,,,
30051,Liberty County,MT,85.63999939,51.90999985,0,8.670000076,14.34000015,0,10.72,,,,,,,,,,
48327,Menard County,TX,50.04999924,25.4299984,0,13,11.61999989,0,,,,,,,,,,,
29227,Worth County,MO,146.8300018,139.7299957,0,7.099999905,0,0,,,,,,,,,,,
20025,Clark County,KS,60.93000031,22.21000099,0,32.43999863,6.28000021,0,,,,,,,,,,,
41021,Gilliam County,OR,16.84000015,3.50999999,0,8.420000076,4.710000038,0,,,,,,,,,,,
48243,Jeff Davis County,TX,35.92999649,16.38999939,0,4.460000038,15.02999973,0,,,,,,,,,,,
30045,Judith Basin County,MT,25.40999985,5.829999924,0,5.440000057,13.98999977,0,,,,,,,,,,,
26083,Keweenaw County,MI,25.80999947,0,0,16.02999878,9.630000114,0,,,,,,,,,,,
30107,Wheatland County,MT,68.54000092,34.17000198,0,7.299999714,16.87000084,0,10.15,,,,,,,,,,
2100,Haines Borough,AK,30.75999832,11.09999943,0,2.450000048,3.460000038,0,10.19,,,,,,,,,,
20187,Stanton County,KS,60.45999908,14.63000011,0,20.72999954,25.10000038,0,,,,,,,,,,,
46049,Faulk County,SD,73.31999969,26.39999962,0,20.10000038,26.81999969,0,,,,,,,,,,,
2275,Wrangell City and Borough,AK,36.88000107,15.56000042,0,4.619999886,3.529999971,0,9.97,,,,,,,,,,
20203,Wichita County,KS,36.09999847,3.019999981,0,13.89000034,19.19000053,0,,,,,,,,,,,
38095,Towner County,ND,56.47000122,19.01000023,0,19.84000015,17.62000084,0,,,,,,,,,,,
31077,Greeley County,NE,110.9299927,19.14999962,0,23.21999931,68.55999756,0,,,,,,,,,,,
48109,Culberson County,TX,83.04000092,35.50999832,0,0,37.34000015,0,9.41,,,,,,,,,,
21201,Robertson County,KY,23.38999939,14.03999996,0,9.350000381,0,0,,,,,,,,,,,
38023,Divide County,ND,63.32000351,6.650000095,0,46.83000183,9.789999962,0,,,,,,,,,,,
38001,Adams County,ND,69.13000488,22.27000046,0,34.68000031,12.18000031,0,,,,,,,,,,,
38013,Burke County,ND,92.84000397,3.230000019,0,66.80000305,18.80999947,0,,,,,,,,,,,
51091,Highland County,VA,55.41999817,24.59000015,0,30.46999931,0,0,,,,,,,,,,,
13239,Quitman County,GA,38.15000153,26.75,10.19999981,1.159999967,0,0,,,,,,,,,,,
38075,Renville County,ND,84.83999634,6.360000134,0,65.25,13.22999954,0,,,,,,,,,,,
53023,Garfield County,WA,42.20000076,17.10000038,0,8.31000042,16.75,0,,,,,,,,,,,
40025,Cimarron County,OK,91.19000244,48.47000122,0,35.70999908,7.010000229,0,,,,,,,,,,,
46097,Miner County,SD,54.26000214,11.39999962,0,24.93000031,17.88999939,0,,,,,,,,,,,
38037,Grant County,ND,69.36999512,26.43000031,0,22.60000038,20.34000015,0,,,,,,,,,,,
38039,Griggs County,ND,57.33000565,10.19000053,0,33.91000366,13.14000034,0,,,,,,,,,,,
8033,Dolores County,CO,18.34000015,7.600000381,0,3.049999952,6.789999962,0,,,,,,,,,,,0.86
46111,Sanborn County,SD,56.12000275,14.27999973,0,23.60000038,18.23999977,0,,,,,,,,,,,
38027,Eddy County,ND,76.69000244,8.819999695,0,36.34000015,31.53000069,0,,,,,,,,,,,
13307,Webster County,GA,43.61000061,35.38999939,3.24000001,4.809999943,0,0,,,,,,,,,,,
2105,Hoonah-Angoon Census Area,AK,19.23999786,8.159999847,0,0,1.059999943,1.059999943,8.96,,,,,,,,,,
38043,Kidder County,ND,67.83999634,18.13999939,0,30.06999779,19.62999916,0,,,,,,,,,,,
8115,Sedgwick County,CO,36.98000336,13.77000046,0,6.860000134,16.35000038,0,,,,,,,,,,,
46089,McPherson County,SD,63.98999786,26.70999908,0,24.79999924,12.47999954,0,,,,,,,,,,,
46137,Ziebach County,SD,39.45000076,20.6400013,0,9.609999657,8.289999962,0,,,,,,,,,,,
20065,Graham County,KS,58.93000031,19.95999908,0,16.69000053,19.04999924,0,,,,,,,,,,,
20179,Sheridan County,KS,70.86000061,18.35000038,0,10.82999992,41.63999939,0,,,,,,,,,,,
48413,Schleicher County,TX,113.9599991,42.97000122,0,9.100000381,61.88999939,0,,,,,,,,,,,
20097,Kiowa County,KS,71.83000183,40.81999969,0,26.95000076,4.019999981,0,,,,,,,,,,,
56027,Niobrara County,WY,32.15000153,12.39999962,0,5.110000134,5.880000114,0,8.76,,,,,,,,,,
46107,Potter County,SD,85.8999939,17.26000023,0,10.84000015,48.45999908,0,9.34,,,,,,,,,,
20049,Elk County,KS,44.51000214,18.53000069,0,20.62000084,5.360000134,0,,,,,,,,,,,
49055,Wayne County,UT,76.13999939,0,0,0,2.00999999,0,74.09,,,,,,,,,,
40057,Harmon County,OK,164.4300079,147.4700012,0,8.800000191,8,0,,,,,,,,,,,
38041,Hettinger County,ND,57.84999847,12.61000061,0,20.56999969,24.67000008,0,,,,,,,,,,,
49033,Rich County,UT,110.0800018,0,0,0,0,0,110.08,,,,,,,,,,
20075,Hamilton County,KS,50.83999634,22.09000015,0,19.21999931,9.529999733,0,,,,,,,,,,,
31063,Frontier County,NE,56.68000031,13.68999958,0,41.11999893,1.789999962,0,,,,,,,,,,,
38051,McIntosh County,ND,70.40000153,4.070000172,0,52.93000412,13.39999962,0,,,,,,,,,,,
31133,Pawnee County,NE,42.47000122,18.39999962,0,17.5,6.489999771,0,,,,,,,,,,,
48079,Cochran County,TX,92.25999451,44.63999939,4.789999962,4.239999771,38.59000015,0,,,,,,,,,,,
20153,Rawlins County,KS,53.01999664,24.04999924,0,9.409999847,19.55999947,0,,,,,,,,,,,
20017,Chase County,KS,29.96999931,8.670000076,0,10.22000027,11.07999992,0,,,,,,,,,,,
16023,Butte County,ID,88.06999969,14.18000031,4.659999847,1.279999971,6.059999943,0,61.85,,,,,,,,,,
20023,Cheyenne County,KS,69.58000183,26.11000061,0,38.54000092,4.929999828,0,,,,,,,,,,,
31087,Hitchcock County,NE,52.58000183,22.04000092,5.730000019,16.02000046,8.789999962,0,,,,,,,,,,,
2066,Copper River Census Area,AK,33.08000183,23.87000084,0,0,1.110000014,0,8.1,,,,,,,,,,
48087,Collingsworth County,TX,124.8000031,100.9700012,0,18.73999977,4.900000095,0,,,,,,,,,,,
20135,Ness County,KS,73.16999817,5.099999905,0,37.36999893,30.70000076,0,,,,,,,,,,,
20129,Morton County,KS,44.58999634,25.95999908,0,9.369999886,9.260000229,0,,,,,,,,,,,
20063,Gove County,KS,63.30999756,32.91999817,0,9.350000381,21.04000092,0,,,,,,,,,,,
46003,Aurora County,SD,70.33000183,11.43000031,0,28.93999863,29.92000008,0,,,,,,,,,,,
48385,Real County,TX,70.44999695,40.90000153,0,7.800000191,21.75,0,,,,,,,,,,,
20109,Logan County,KS,64.51999664,28.01999855,0,13.86999989,22.62999916,0,,,,,,,,,,,
20039,Decatur County,KS,59.11000061,18.15999985,0,33.5,7.449999809,0,,,,,,,,,,,
48421,Sherman County,TX,71,49.68000031,0,12.32999992,8.989999771,0,,,,,,,,,,,
46071,Jackson County,SD,24.61000061,6.049999714,5.349999905,8.440000534,2.849999905,0,,,,,,,,,,,
20195,Trego County,KS,61.25,14.81999969,0,27.20000076,19.15999985,0,,,,,,,,,,,
48191,Hall County,TX,44.29000092,27.79000092,0,10.97000027,5.489999771,0,,,,,,,,,,,
46043,Douglas County,SD,94.23999786,46.06000137,0,34.91999817,13.26000023,0,,,,,,,,,,,
46105,Perkins County,SD,69.83000183,27.55000114,0,26.27000046,16.01000023,0,,,,,,,,,,,
13061,Clay County,GA,24.77000046,17.70000076,2.670000076,4.21999979,0,0,,,,,,,,,,,
31135,Perkins County,NE,46.84999847,22.18000031,0,17.53000069,7.139999866,0,,,,,,,,,,,
13007,Baker County,GA,31.18999863,17.11000061,13.21000004,0.5600000024,0,0,,,,,,,,,,,
13125,Glascock County,GA,36.81999969,33.31999969,0,3.5,0,0,,,,,,,,,,,
31061,Franklin County,NE,68.5,12.64000034,5.190000057,46.17000198,4.429999828,0,,,,,,,,,,,
31017,Brown County,NE,60.20999908,25.55999947,0,21.46000099,11.36999989,0,,,,,,,,,,,
20047,Edwards County,KS,56.75,9.770000458,0,17.87999916,29.06999969,0,,,,,,,,,,,
20089,Jewell County,KS,48.96999741,18.61999893,0,19.37000084,10.97999954,0,,,,,,,,,,,
20105,Lincoln County,KS,66.83000183,48.07999802,0,11.13000011,7.550000191,0,,,,,,,,,,,
20165,Rush County,KS,57.44000244,10.18000031,0,30.06999969,17.19000053,0,,,,,,,,,,,
31163,Sherman County,NE,75.86999512,13.59000015,0,6.889999866,55.38999939,0,,,,,,,,,,,
46117,Stanley County,SD,46.8599968,0.8100000024,0,3.559999943,42.41999817,0,,,,,,,,,,,
38011,Bowman County,ND,89.47999573,5.480000019,0,54.20000076,29.79999924,0,,,,,,,,,,,
38063,Nelson County,ND,94.78999329,4.639999866,0,69.44999695,20.70000076,0,,,,,,,,,,,
30025,Fallon County,MT,55.5,8.859999657,0,32.04999924,14.59000015,0,,,,,,,,,,,
48295,Lipscomb County,TX,91.36999512,44.81999969,0,22.03000069,24.52000046,0,,,,,,,,,,,
31083,Harlan County,NE,38.62000275,14.53999996,0,17.34000015,6.739999771,0,,,,,,,,,,,
48105,Crockett County,TX,47.79999542,20.29999924,0,8.779999733,18.71999931,0,,,,,,,,,,,
48417,Shackelford County,TX,58.56999969,44.70000076,0,9.430000305,4.440000057,0,,,,,,,,,,,
20207,Woodson County,KS,20.3900013,3.049999952,0,10.69000053,6.650000095,0,,,,,,,,,,,
48271,Kinney County,TX,59.74000168,21.47999954,0,7.929999828,30.27000046,0,,,,,,,,,,,
46059,Hand County,SD,63.25999832,12.15999985,0,19.94000053,23.81999969,0,7.34,,,,,,,,,,
48229,Hudspeth County,TX,50.65999985,8.430000305,0,0,29.36000061,0,12.84,,,,,,,,,,
6091,Sierra County,CA,19.15999985,8.519999504,0,1.299999952,1.610000014,0,7.51,,,,,,,,,,
37177,Tyrrell County,NC,45.93000031,29.73000145,4.679999828,8.260000229,3.200000048,0,,,,,,,,,,,
48129,Donley County,TX,82.65000153,65.34999847,3.680000067,7.980000019,4.599999905,0,,,,,,,,,,,
40059,Harper County,OK,98.96000671,61.06000137,0,28.03000069,9.869999886,0,,,,,,,,,,,
48081,Coke County,TX,70.17999268,46.36999893,9.43999958,10.75,3.589999914,0,,,,,,,,,,,
38029,Emmons County,ND,100.6999969,11.43000031,0,7.629999638,81.63999939,0,,,,,,,,,,,
48095,Concho County,TX,41,21.5,0,3.970000029,15.5,0,,,,,,,,,,,
48461,Upton County,TX,95.68000031,46.00999832,0,3.539999962,36.75999832,0,,,,,,,,,,,
30039,Granite County,MT,22.61000061,3.630000114,0,1.720000029,10.85000038,0,6.35,,,,,,,,,,
48275,Knox County,TX,75.30999756,47.59999847,3.579999924,11.96000004,12.17000008,0,,,,,,,,,,,
27155,Traverse County,MN,64.51999664,26.61000061,0,15.92000008,21.98999977,0,,,,,,,,,,,
48435,Sutton County,TX,85.36999512,34.95999908,0,11.71000004,34.63999939,0,,,,,,,,,,,
20019,Chautauqua County,KS,28.77000046,12.13000011,0,15.65999985,0.9800000191,0,,,,,,,,,,,
31125,Nance County,NE,59.38000107,6.070000172,0,15.67999935,37.63000107,0,,,,,,,,,,,
46007,Bennett County,SD,28.28000069,8.909999847,0.8899999857,8.519999504,6.679999828,0,,,,,,,,,,,
48211,Hemphill County,TX,75.84999847,41.02000046,0,16.5,18.32999992,0,,,,,,,,,,,
48383,Reagan County,TX,66.70999908,36.54000092,0,3.309999943,20.64999962,0,6.09,,,,,,,,,,
31181,Webster County,NE,43.51000214,22.32999992,0,17.63999939,1.710000038,0,,,,,,,,,,,
38031,Foster County,ND,49.88999939,24.37000084,0,10.51000023,14.97999954,0,,,,,,,,,,,
